País,Brecha_2013,Brecha_2022
Austria,22.3,18.7
Belgium,7.5,0.7
Bulgaria,14.1,12.6
Cyprus,14.9,11.9
Czech Republic,22.3,18.4
Denmark,16.5,13.8
Estonia,29.8,21.1
Finland,18.8,16.0
Germany,22.1,17.7
Hungary,18.4,17.5
Iceland,19.0,9.0
Ireland,12.9,9.3
Italy,7.0,3.8
Latvia,16.0,18.9
Lithuania,12.2,10.5
Luxembourg,6.2,-0.7
Malta,9.7,5.8
Norway,15.5,13.7
Portugal,13.3,6.3
Romania,4.9,1.5
Slovakia,18.8,16.8
Slovenia,6.3,6.8
Spain,17.8,9.2
Sweden,14.6,10.4
Switzerland,17.6,17.0
